event_id_cnty;event_date;year;time_precision;disorder_type;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;civilian_targeting;iso;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;tags;timestamp
NIG6363;"28 August 2014";2014;1;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;"Askira Uba";;Dalwa;10.6571;12.4642;1;"Vanguard (Nigeria)";National;"Suspected Boko Haram attack and overtake Dalwa. It appears this was done by the same group and the same operation as the excursion into Jibwhiwhui. Fourteen dead between the two towns.";4;;1618566595
NIG6337;"24 August 2014";2014;1;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Bama;;Banki;11.2551;14.1482;1;"Vanguard (Nigeria)";National;"Boko Haram attacks and overtakes Banki. Many military members managed to escape and fled towards Amhide villages before they entered Cameroon for safety. Causalities not known, however, sources said many casualties were recorded including Boko Haram, security operatives and civilians who were caught up in the crossfire.";10;;1617065411
NIG6317;"21 August 2014";2014;1;"Political violence";Battles;"Non-state actor overtakes territory";"Police Forces of Nigeria (1999-2015)";"Military Forces of Nigeria (1999-2015)";1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Gwoza;;Limankara;10.9805;13.6631;1;"Nigeria Today";National;"Boko Haram insurgents have taken over the Police Mobile Training camp - a police academy - in Limankara village. It was gathered that there was heavy fighting between the insurgents and troops before the camp finally fell. It is believed Boko Haram targeted the facility after reported attempts from security forces to dislodge Boko Harams control from Gwoza, which had fallen under BH control several weeks earlier. Numerous trainees ('scores') were killed or seriously injured by the attackers, no numbers provided. It was later determined by Vanguard that 35 officers were declared missing following the attack. Following the takeover a video was released by the group declaring a caliphate in the area.";40;;1617065407
NIG6266;"07 August 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Gwoza;;Limankara;10.9805;13.6631;1;"Daily Trust (Nigeria)";National;"Five soldiers were killed by Boko Haram fighters in an ambush at Limankara village.";5;;1617065405
NIG6264;"07 August 2014";2014;2;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Yobe;Gujba;;"Buni Yadi";11.2689;11.9994;1;"Nation (Nigeria)";National;"Residents of Gujba LGA report Boko Haram has overtaken three military camps at Buni Yadi, Buni Gari and Goniri. The date(s) of the territory exchange are not known, though it is known the attacks happened sometime following the bombing of the Katarko Bridge by the insurgents on 25/07. Causalities not known.";0;;1617065406
NIG6265;"07 August 2014";2014;2;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Yobe;Gujba;;Goniri;11.4833;12.3144;1;"Nation (Nigeria)";National;"Residents of Gujba LGA report Boko Haram has overtaken three military camps at Buni Yadi, Buni Gari and Goniri. The date(s) of the territory exchange are not known, though it is known the attacks happened sometime following the bombing of the Katarko Bridge by the insurgents on 25/07. Causalities not known.";0;;1617065406
NIG6263;"07 August 2014";2014;2;"Political violence";Battles;"Non-state actor overtakes territory";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Yobe;Gujba;;Buni;11.2002;12.0314;1;"Nation (Nigeria)";National;"Residents of Gujba LGA report Boko Haram has overtaken three military camps at Buni Yadi, Buni Gari and Goniri. The date(s) of the territory exchange are not known, though it is known the attacks happened sometime following the bombing of the Katarko Bridge by the insurgents on 25/07. Causalities not known.";0;;1617065406
NIG6238;"30 July 2014";2014;1;"Strategic developments";"Strategic developments";"Looting/property destruction";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Civilians (Nigeria)";"Christian Group (Nigeria)";7;27;;566;"Western Africa";Nigeria;Borno;Hawul;;"Kwajaffa Babur";10.4646;12.418;1;"This Day (Nigeria)";National;"Property destruction: Five churches in Kwajaffa, Tasha Alade and other surrounding communities (not named) in Hawul Local Government Area of Borno have allegedly been set ablaze by suspected members of Boko Haram during the night-time hours. No causalities reported - it is not clear Boko Haram engaged any person physically. The Hawul LGA is a predominantly Christian area.";0;;1617065409
NIG6239;"30 July 2014";2014;1;"Strategic developments";"Strategic developments";"Looting/property destruction";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Civilians (Nigeria)";"Christian Group (Nigeria)";7;27;;566;"Western Africa";Nigeria;Borno;Hawul;;"Tashon Alade";10.4884;12.4197;1;"This Day (Nigeria)";National;"Property destruction: Five churches in Kwajaffa, Tashan Alade and other surrounding communities (not named) in Hawul Local Government Area of Borno have allegedly been set ablaze by suspected members of Boko Haram during the night-time hours. No causalities reported - it is not clear Boko Haram engaged any person physically. The Hawul LGA is a predominantly Christian area.";0;;1617065409
NIG6230;"29 July 2014";2014;1;"Strategic developments";"Strategic developments";"Looting/property destruction";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Yobe;Gujba;;Bujimirum;11.5645;11.9182;1;"Daily Trust (Nigeria)";National;"Property destruction: Boko Haram destroyed the Katarko (also known as Bujimirum) Bridge in Gujba local government of Yobe State which linked dozens of communities with southern part of Borno and Adamawa States. The recent destruction of bridges is believed to be a method of tactically disrupting military supplies to the area. No injuries or causalities reported.";0;;1617065405
NIG6218;"27 July 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Adamawa;Gombi;;Garkida;10.405;12.5669;1;"Daily Leadership (Nigeria)";National;"Local sources said four soldiers were killed in Garkida, Gombi LGA, during a fierce gun battle that lasted many hours between the members of the sect and soldiers while many civilians who were caught up in the crossfire were also killed. The numbers of civilians killed were not articulated.";4;;1617065404
NIG6203;"23 July 2014";2014;1;"Strategic developments";"Strategic developments";"Looting/property destruction";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Civilians (Nigeria)";;7;27;;566;"Western Africa";Nigeria;Borno;Ngala;;Ngala;12.3377;14.1805;1;"Daily Trust (Nigeria)";National;"Property destruction: Boko Haram members destroyed a bridge at Ngala town of Borno State near the border between Nigeria and Cameroon. As a result of the bridges destruction, business activities between Nigeria and Cameroon around that axis have come to a halt with hundreds.";0;;1617065405
NIG6192;"20 July 2014";2014;1;"Political violence";Battles;"Non-state actor overtakes territory";"BVYG: Borno Vigilance Youths Group";;3;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;23;;566;"Western Africa";Nigeria;Borno;Damboa;;Damboa;11.156;12.7576;1;"This Day (Nigeria)";National;"Boko Haram and the BVYG continue to battle in Damboa, eventually causing the BVYG to capitulate and flee. The Associated Press estimates 100 deaths throughout the four-day sedge.";25;;1617065408
NIG6188;"19 July 2014";2014;1;"Political violence";Battles;"Armed clash";"BVYG: Borno Vigilance Youths Group";;3;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;23;;566;"Western Africa";Nigeria;Borno;Damboa;;Damboa;11.156;12.7576;1;"This Day (Nigeria)";National;"Boko Haram and the BVYG continue to battle in Damboa. No day-specific deaths reported. Fleeing residents have claimed to witness Boko Haram raising their flag above the city, though this may be interpreted as merely a section of the city, as the town was not reported fallen until the following day.";25;;1617065408
NIG6183;"18 July 2014";2014;1;"Political violence";Battles;"Armed clash";"BVYG: Borno Vigilance Youths Group";;3;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;23;;566;"Western Africa";Nigeria;Borno;Damboa;;Damboa;11.156;12.7576;1;"Premium Times (Nigeria)";National;"Several people are feared killed as gunmen suspected to be members of the Boko Haram attacked Damboa in Borno State Thursday night and continued over several days. The 'Civilian JTF' clashed with Boko Haram - Causality figures not known, though witnesses say residents were 'piling up corpses.' The Associated Press believes at least 100 deaths occurred as a result of the attack.";25;;1617065407
